code,province,capital
11,Tehran,تهران
14,Qom,قم
15,Qazvin,قزوین
16,Mazandaran,ساری
18,Alborz,کرج
21,Esfahan,اصفهان
26,AzarbayjanSharghi,تبریز
31,KhorasanRazavi,مشهد
32,KhorasanShomali,بجنورد
33,KhorasanJonoubi,بیرجند
36,Khuzestan,اهواز
41,Fars,شیراز
45,Kerman,کرمان
51,Markazi,اراک
54,Gilan,رشت
57,AzarbayjanGharbi,ارومیه
61,SistanAndBaluchestan,زاهدان
64,Hormozgan,بندرعباس
67,Zanjan,زنجان
71,KermanShah,کرمانشاه
73,Kurdistan,سنندج
75,Hamedan,همدان
77,ChaharmahalAndBakhtiari,شهرکرد
81,Lorestan,خرم آباد
83,ilam,ایلام
85,KohgiluyeAndBoyerahmad,یاسوج
87,Semnan,سمنان
91,Ardabil,اردبیل
93,Yazd,یزد
95,Bushehr,بوشهر
97,Golestan,گرگان