code,type,origin,destination,place
214204,,بادرود,اردستان,متناظر توزین
214205,آزادراه,کاشان,نطنز,نطنز
214209,جاده قدیم,مورچه‌خورت,نطنز,سه راهی مورچه خورت
214210,,قمصر,کاشان,
214211,,کاشان,بادرود,
214239,آزادراه,کاشان,نطنز,متناظر توزین
214240,,کاشان,مشهد اردهال,
214241,,کاشان,نراق,مرز استان
214252,آزادراه,قم,کاشان,مشکات - کاشان
214254,,اردستان,بادرود,
214255,آزادراه,نطنز,کاشان,نطنز
214259,جاده قدیم,نطنز,مورچه‌خورت,سه راهی مورچه خورت
214260,,کاشان,قمصر,
214289,آزادراه,نطنز,کاشان,
214290,,مشهد اردهال,کاشان,
214291,,نراق,کاشان,مرز استان
214301,جاده قدیم,کاشان,قم,کاشان - سن سن
214351,جاده قدیم,قم,کاشان,سن سن - کاشان
214401,,گلپایگان,خمین,
214402,,گلپایگان,سه‌راه موته,
214451,,خمین,گلپایگان,
214452,,سه‌راه موته,گلپایگان,
214502,,اصفهان,مبارکه,
214503,,زرین‌شهر,سفیددشت,
214511,آزادراه,زرین‌شهر,نجف‌آباد,
214552,,مبارکه,اصفهان,
214553,,سفیددشت,زرین‌شهر,
214561,آزادراه,نجف‌آباد,زرین‌شهر,
214602,,انارک,خور,سه‌راهی جندق - خور
214603,,انارک,جندق,جندق - سه‌راه جندق
214604,,نائین,انارک,
214607,,نائین,عقدا,نائین) (متناظر توزین
214641,,بهارستان,نیک آباد,
214642,,نائین,سجزی,متناظر توزین
214652,,خور,انارک,خور - سه‌راهی جندق
214653,,جندق,انارک,سه‌راه جندق - جندق
214654,,انارک,نائین,
214657,,عقدا,نائین,نائین
214691,,نیک آباد,بهارستان,
214692,,سجزی,نائین,
214701,,نجف‌آباد,تیران,
214702,,خمینی‌شهر,نجف‌آباد,
214703,,علویجه,گلپایگان,علویجه
214711,,دهق,گلپایگان,خنداب
214712,,اصفهان,نجف‌آباد,فولادشهر - نجف‌آباد
214751,,تیران,نجف‌آباد,
214752,,نجف‌آباد,خمینی‌شهر,
214753,,گلپایگان,علویجه,علویجه
214761,,گلپایگان,دهق,خنداب
214762,,نجف‌آباد,اصفهان,نجف‌آباد - فولادشهر
214801,,تیران,سامان,تیران
214808,,تیران,داران,سه راهی دامنه
214851,,سامان,تیران,تیران
214858,,داران,تیران,سه راهی دامنه
214901,آزادراه,نطنز,اصفهان,عوارضی اصفهان
214902,آزادراه,نطنز,اصفهان,نطنز
214903,,اردستان,کاشان,موغار
214951,آزادراه,اصفهان,نطنز,عوارضی اصفهان
214952,آزادراه,اصفهان,نطنز,نطنز
214953,,کاشان,اردستان,موغار
215101,,میمه,دلیجان,میمه
215102,,شاهین‌شهر,مورچه‌خورت,بزرگراه آزادگان
215103,آزادراه,مورچه‌خورت,نجف‌آباد,
215104,آزادراه,شاهین‌شهر,اصفهان,آزادراه معلم
215108,,مورچه‌خورت,میمه,سه راهی نطنز - مورچه خورت
215151,,دلیجان,میمه,میمه
215152,,مورچه‌خورت,شاهین‌شهر,بزرگراه آزادگان
215153,آزادراه,نجف‌آباد,مورچه‌خورت,
215154,آزادراه,اصفهان,شاهین‌شهر,آزادراه معلم
215158,,میمه,مورچه‌خورت,سه راهی نطنز - مورچه خورت
215201,,شهرضا,طالخونچه,
215203,,اصفهان,شهرضا,سه‌راهی مبارکه) (متناظر توزین
215205,,مبارکه,بروجن,قمشلو
215251,,طالخونچه,شهرضا,
215253,,شهرضا,اصفهان,سه‌راهی مبارکه
215255,,بروجن,مبارکه,قمشلو
215301,,چادگان,داران,
215302,,تیران,چادگان,سه راهی سد زاینده‌رود
215351,,داران,چادگان,
215352,,چادگان,تیران,سه‌راهی سد زاینده‌رود
263101,,تبریز,صوفیان,
263102,,ایلخچی,آذرشهر,
263103,,تبریز,جزیره اسلامی,
263104,آزادراه,تبریز,زنجان,بستان‌آباد - هشترود
263105,آزادراه,تبریز,زنجان,هشترود - عوارضی میاندوآب
263107,جاده قدیم,بستان‌آباد,تبریز,
263110,,تبریز,ایلخچی,
263111,آزادراه,تبریز,زنجان,تبریز - عوارضی تبریز
263112,کمربندی,غربی تبریز,صوفیان,
263151,,صوفیان,تبریز,
263152,,آذرشهر,ایلخچی,
263153,,جزیره اسلامی,تبریز,
263154,آزادراه,زنجان,تبریز,هشترود - بستان‌آباد
263155,آزادراه,زنجان,تبریز,عوارضی میاندوآب - هشترود
263157,جاده قدیم,تبریز,بستان‌آباد,
263160,,ایلخچی,تبریز,
263161,آزادراه,زنجان,تبریز,عوارضی تبریز - تبریز
263162,,صوفیان,کمربندی غربی تبریز,
263201,,آذرشهر,عجب شیر,
263236,,کنار گذر جنوبی شهید کسایی (باسمنج,تبریز),
263237,آزادراه,تبریز,زنجان,بستان آباد) (متناظر توزین
263251,,عجب شیر,آذرشهر,
263286,,کنار گذر جنوبی شهید کسایی (تبریز,باسمنج),
263287,آزادراه,زنجان,تبریز,بستان آباد
263301,,سهند,تبریز,
263351,,تبریز,سهند,
263401,,تبریز,خواجه,
263402,,اهر,کلیبر,
263403,,اهر,مشگین شهر,اهر
263404,,اهر,هوراند,
263451,,خواجه,تبریز,
263452,,کلیبر,اهر,
263453,,مشگین شهر,اهر,اهر
263454,,هوراند,اهر,
263501,,سراب,نیر,سراب
263551,,نیر,سراب,سراب
263601,,هشترود,مراغه,مراغه
263602,,مراغه,بناب,
263651,,مراغه,هشترود,مراغه
263652,,بناب,مراغه,
263702,,جلفا,مرند,
263703,,مرند,ایواغلی,مرند - کشکسرای
263704,,مرند,ایواغلی,کشکسرای - سه‌راه ایواغلی
263714,,صوفیان,مرند,مرند
263752,,مرند,جلفا,
263753,,ایواغلی,مرند,کشکسرای - مرند
263754,,ایواغلی,مرند,سه‌راه ایواغلی - کشکسرای
263764,,مرند,صوفیان,مرند) (متناظر توزین
263802,,جلفا,نوردوز,
263804,,جلفا,پلدشت,جلفا
263806,,جلفا,سه راهی ایواغلی,
263852,,نوردوز,جلفا,
263854,,پلدشت,جلفا,جلفا
263856,,سه راهی ایواغلی,جلفا,
263901,آزادراه,تبریز,زنجان,عوارضی میاندوآب - مرز استان
263902,,سرچم,اردبیل,سرچم
263903,جاده قدیم,میانه,زنجان,میانه - سرچم
263951,آزادراه,زنجان,تبریز,مرز استان - عوارضی میاندوآب
263952,,اردبیل,سرچم,سرچم
263953,جاده قدیم,زنجان,میانه,سرچم - میانه
264201,,بناب,عجبشیر,
264202,,بناب,ملکان,
264203,,ملکان,میاندوآب,ملکان
264251,,عجبشیر,بناب,
264252,,ملکان,بناب,
264253,,میاندوآب,ملکان,ملکان
264301,,هریس,سه راهی هریس,
264302,,سه راهی هریس,اهر,
264351,,سه راهی هریس,هریس,
264352,,اهر,سه راهی هریس,
264402,,سراب,بستان آباد,
264403,,بستان آباد,میانه,
264405,آزادراه,تبریز,زنجان,عوارضی تبریز - بستان‌آباد
264406,,میانه,میاندوآب,میانه
264415,جاده قدیم,بستان آباد,تبریز,تبریز
264452,,بستان آباد,سراب,متناظر توزین
264453,,میانه,بستان آباد,
264455,آزادراه,زنجان,تبریز,بستان‌آباد - عوارضی تبریز
264456,,میاندوآب,میانه,میانه
264465,جاده قدیم,تبریز,بستان آباد,تبریز
264501,,صوفیان,شبستر,
264502,,صوفیان,مرند,
264503,,شبستر,تسوج,
264504,,تسوج,سلماس,تسوج
264551,,شبستر,صوفیان,
264552,,مرند,صوفیان,
264553,,تسوج,شبستر,
264554,,سلماس,تسوج,تسوج
264701,,کلیبر,جانانلو,
264702,,کلیبر,عاشقلو,
264703,,اسکانلو,اصلاندوز,
264751,,جانانلو,کلیبر,
264752,,عاشقلو,کلیبر,
264753,,اصلاندوز,اسکانلو,
264801,,خواجه,ورزقان,
264802,,سه‌راهی خواجه,سه‌راهی هریس,
264851,,ورزقان,خواجه,
264852,,سه‌راهی هریس,سه‌راهی خواجه,
313101,,سه‌راه باغچه,نیشابور,ابرش
313102,,مشهد,سرخس,مشهد - رضویه
313103,,مشهد,چناران,مشهد - تقاطع آزادراه
313104,,مشهد,فریمان,تپه سلام - سنگ بست
313105,آزادراه,مشهد,باغچه,مشهد
313106,,مشهد,سدکارده,سه‌راه کارده
313107,,مشهد,کلات,سه‌راه کارده
313108,,مشهد,سرخس,سرخس
313109,جاده قدیم,مشهد,باغچه,
313110,,مشهد,سرخس,رضویه - آبروان
313111,,مشهد,شاندیز,
313120,جاده قدیم,مشهد,چناران,
313121,آزادراه,کنارگذر باغچه,چناران,عوارضی مزرعه نمونه
313122,,فریمان,مشهد,فریمان - سنگ بست
313130,,مشهد,کلات,مشهد - چنار
313144,,مشهد,تربت‌حیدریه,باغچه - رباط سفید
313145,,نیشابور,مشهد,قدمگاه
313146,آزادراه,مشهد,باغچه,باغچه
313151,,نیشابور,سه‌راه باغچه,ابرش
313152,,سرخس,مشهد,رضویه - مشهد
313153,,چناران,مشهد,تقاطع آزادراه - مشهد
313154,,فریمان,مشهد,سنگ بست - تپه سلام
313155,آزادراه,باغچه,مشهد,مشهد
313156,,سدکارده,مشهد,سه‌راه کارده
313157,,کلات,مشهد,سه‌راه کارده
313158,,سرخس,مشهد,سرخس
313159,جاده قدیم,باغچه,مشهد,
313160,,سرخس,مشهد,آبروان - رضویه
313161,,شاندیز,مشهد,
313170,جاده قدیم,چناران,مشهد,
313171,آزادراه,کنارگذر چناران,باغچه,عوارضی مزرعه نمونه
313172,,مشهد,فریمان,سنگ بست - فریمان
313180,,کلات,مشهد,چنار - مشهد
313194,,تربت‌حیدریه,مشهد,رباط سفید - باغچه
313195,,مشهد,نیشابور,قدمگاه
313196,آزادراه,باغچه,مشهد,باغچه
313208,آزادراه,کنارگذر باغچه,چناران,عوارضی ناظریه
313223,,نیشابور,مشهد,نیشابور) (متناظر توزین
313224,,تربت حیدریه,مشهد,کمربندی تربت حیدریه) (متناظر توزین
313235,,مشهد,میامی,
313249,آزادراه,کنارگذر باغچه,چناران,عوارضی امرغان
313258,آزادراه,کنارگذر چناران,باغچه,عوارضی ناظریه
313273,,مشهد,نیشابور,نیشابور) (متناظر توزین
313274,,مشهد,تربت حیدریه,کمربندی تربت حیدریه
313285,,میامی,مشهد,
313299,آزادراه,کنارگذر چناران,باغچه,عوارضی امرغان
313302,,مشهد,فریمان,عوارضی فریمان
313352,,فریمان,مشهد,عوارضی فریمان
313601,,تایباد,پایانه مرزی دوغارون,
313602,,تربت‌حیدریه,تایباد,تایباد
313651,,پایانه مرزی دوغارون,تایباد,
313652,,تایباد,تربت‌حیدریه,تایباد
313701,,تربت‌جام,تایباد,تربت‌جام
313702,,تربت‌جام,باخرز,تربت‌جام
313703,,تربت‌جام,صالح‌آباد,تربت‌جام
313751,,تایباد,تربت‌جام,تربت‌جام
313752,,باخرز,تربت‌جام,تربت‌جام
313753,,صالح‌آباد,تربت‌جام,تربت‌جام
313801,,تربت‌حیدریه,سه‌راه شادمهر,
313802,,مشهد,تربت حیدریه,باغچه - رباط سنگ
313803,,تربت حیدریه,رشتخوار,
313804,,تربت‌حیدریه,تایباد,تربت‌حیدریه
313805,,فیض‌آباد,مهنه,
313806,,فیض‌آباد,بجستان,فیض‌آباد
313822,,مهنه,شادمهر,متناظر توزین
313851,,سه‌راهی شادمهر,تربت‌حیدریه,
313852,,تریت حیدریه,مشهد,رباط سنگ - باغچه
313853,,رشتخوار,تربت حیدریه,
313854,,تایباد,تربت‌حیدریه,تربت‌حیدریه
313855,,مهنه,فیض‌آباد,
313856,,بجستان,فیض‌آباد,فیض‌آباد
313872,,شادمهر,مهنه,
313901,,چناران,قوچان,چناران - سه‌راه چکنه
313902,,مشهد,چناران,گلبهار - چناران
313904,,قوچان,چناران,متناظر توزین
313909,,قوچان,فاروج,قوچان
313910,,قوچان,درگز,قوچان - امام قلی
313911,,قوچان,باجگیران,امام قلی - باجگیران
313951,,قوچان,چناران,سه‌راه چکنه - چناران
313952,,چناران,مشهد,چناران - گلبهار
313954,,چناران,قوچان,
313959,,فاروج,قوچان,قوچان
313960,,درگز,قوچان,امام قلی - قوچان
313961,,باجگیران,قوچان,باجگیران - امام قلی
314101,,خواف,تایباد,
314102,,خواف,قائن,نشتیفان
314104,,خواف,رشتخوار,
314151,,تایباد,خواف,
314152,,قائن,خواف,نشتیفان
314154,,رشتخوار,خواف,
314201,,درگز,قوچان,درگز - امام قلی
314202,,درگز,لطف آباد,
314203,,درگز,کلات,کیلومتر 13
314251,,قوچان,درگز,امام قلی - درگز
314252,,لطف آباد,درگز,
314253,,کلات,درگز,کیلومتر 13
314301,,سبزوار,بردسکن,سبزوار
314302,,سبزوار,شاهرود,سبزوار - داورزن
314303,,سبزوار,قوچان,سبزوار - سلطان‌آباد
314304,,سبزوار,اسفراین,سبزوار
314305,,قوچان,سبزوار,سه‌راه چکنه - سلطان‌آباد
314320,,سبزوار,نیشابور,زعفرانیه
314351,,بردسکن,سبزوار,سبزوار
314352,,شاهرود,سبزوار,داورزن - سبزوار
314353,,قوچان,سبزوار,سلطان‌آباد - سبزوار
314354,,اسفراین,سبزوار,سبزوار
314355,,سبزوار,قوچان,سلطان‌آباد - سه‌راه چکنه
314370,,نیشابور,سبزوار,زعفرانیه
314701,,فردوس,بجستان,بجستان
314751,,بجستان,فردوس,بجستان
314801,,فریمان,تربت‌جام,فریمان
314851,,تربت‌جام,فریمان,فریمان
315305,,بردسکن,شاهرود,بردسکن
315355,,شاهرود,بردسکن,بردسکن
315401,,شادمهر,کاشمر,
315402,,کاشمر,بردسکن,
315451,,کاشمر,شادمهر,
315452,,بردسکن,کاشمر,
315501,,گناباد,فردوس,گناباد
315502,,گناباد,قائن,گناباد
315503,,گناباد,مهنه,مهنه
315504,,گناباد,بجستان,گناباد
315505,,بجستان,بردسکن,سردق
315551,,فردوس,گناباد,گناباد
315552,,قائن,گناباد,گناباد
315553,,مهنه,گناباد,مهنه
315554,,بجستان,گناباد,گناباد
315555,,بردسکن,بجستان,سردق
315701,,نیشابور,سبزوار,نیشابور
315702,,نیشابور,کاشمر,نیشابور
315723,جاده قدیم,نیشابور,سبزوار,نیشابور - فیروزه
315728,جاده قدیم,نیشابور,سبزوار,فیروزه - سلطان‌آباد
315751,,سبزوار,نیشابور,نیشابور
315752,,کاشمر,نیشابور,نیشابور
315773,جاده قدیم,سبزوار,نیشابور,فیروزه - نیشابور
315778,جاده قدیم,سبزوار,نیشابور,سلطان‌آباد - فیروزه
323101,,بجنورد,شیروان,بجنورد
323102,,بجنورد,آشخانه,بیدک
323103,,بجنورد,آشخانه,کریک
323104,,بجنورد,اسفراین,بجنورد
323105,,شیروان,بجنورد,سیساب
323108,,سه راهی ایرج,اسفراین,
323151,,شیروان,بجنورد,بجنورد
323152,,آشخانه,بجنورد,بیدک
323153,,آشخانه,بجنورد,کریک
323154,,اسفراین,بجنورد,بجنورد
323155,,بجنورد,شیروان,سیساب) (متناظر توزین
323158,,اسفراین,سه راهی ایرج,
323203,,گرمه,میامی,گرمه
323204,,گرمه,جاجرم,
323205,,جاجرم,امیرآباد,جاجرم
323206,,اسفراین,سبزوار,اسفراین
323207,,سنخواست,سه راهی ایرج,
323208,,گرمه,چمن بید,
323209,,سنخواست,جاجرم,
323210,جاده قدیم,بجنورد,آشخانه,
323211,کمربندی,بجنورد,,شرق به غرب
323219,,بجنورد,شوقان,
323226,,پیش قلعه,راز,
323253,,میامی,گرمه,گرمه
323254,,جاجرم,گرمه,
323255,,امیرآباد,جاجرم,جاجرم
323256,,سبزوار,اسفراین,اسفراین
323257,,سه راهی ایرج,سنخواست,
323258,,چمن بید,گرمه,
323259,,جاجرم,سنخواست,
323260,جاده قدیم,آشخانه,بجنورد,
323269,,شوقان,بجنورد,
323276,,راز,پیش قلعه,
323302,,چمن بید,جنگل گلستان,رباط قره بیل
323304,,آشخانه,چمن بید,چمن بید
323305,,آشخانه,رازجرگلان,
323307,,آشخانه,چمن بید,آشخانه
323308,,آشخانه,شهر آباد,
323309,,چمن بید,جنگل گلستان,چشمه خان
323352,,جنگل گلستان,چمن بید,رباط قره بیل
323354,,چمن بید,آشخانه,چمن بید
323355,,رازجرگلان,آشخانه,
323357,,چمن بید,آشخانه,آشخانه
323358,,شهر آباد,آشخانه,
323359,,جنگل گلستان,چمن بید,چشمه خان
323402,,صفی آباد,گراتی,
323452,,گراتی,صفی آباد,
323501,,فاروج,قوچان,فاروج
323502,,شیروان,فاروج,
323551,,قوچان,فاروج,فاروج
323552,,فاروج,شیروان,
333101,,سرایان,بیرجند,سرایان
333108,,دیهوک,عرب آباد,
333110,,دیهوک,راور,زنوغان
333111,,سه‌راهی دیهوک,بیرجند,عرب‌آباد
333112,,دیهوک,فردوس,دیهوک
333151,,بیرجند,سرایان,سرایان
333158,,عرب آباد,دیهوک,
333160,,راور,دیهوک,زنوغان
333161,,بیرجند,سه‌راهی دیهوک,عرب‌آباد
333162,,فردوس,دیهوک,دیهوک
333201,,نهبندان,زابل,نهبندان
333215,,طبس,ده محمد,
333216,,بشرویه,ده محمد,
333217,,ده محمد,بردسکن,
333218,,فردوس,سرایان,
333221,,نهبندان,شهداد,
333222,,بیرجند,منصورآباد,
333223,,بشرویه,سه راهی شهید زارع,
333224,,اسدیه,گزیک,مرز
333225,,بیرجند,سه قلعه,سرایان
333227,,خوسف,سربیشه,
333230,,بیرجند,قاین,بیرجند
333232,,بیرجند,خوسف,کمربندی غربی
333251,,زابل,نهبندان,نهبندان
333265,,ده محمد,طبس,
333266,,ده محمد,بشرویه,
333267,,بردسکن,ده محمد,
333268,,سرایان,فردوس,
333271,,شهداد,نهبندان,
333272,,منصورآباد,بیرجند,
333273,,سه راهی شهید زارع,بشرویه,
333274,,گزیک (مرز),اسدیه,
333275,,سه قلعه (سرایان),بیرجند,
333277,,سربیشه,خوسف,
333280,,قاین,بیرجند,بیرجند) (متناظر توزین
333282,,خوسف,بیرجند,کمربندی غربی
333301,,سربیشه,درح,پایانه مرزی ماهی رود
333302,,سربیشه,درمیان,
333312,,شوسف,سربیشه,
333351,,درح (پایانه مرزی ماهی آباد),سربیشه,
333352,,درمیان,سربیشه,
333362,,سربیشه,شوسف,
333401,,قائن,گناباد,خضری - گناباد
333403,,قائن,مرز یزدان,حاجی‌آباد
333404,,قائن,خواف,فرخی
333408,,قاین,حاجی آباد,
333451,,گناباد,قائن,گناباد - خضری
333453,,مرز یزدان,قائن,حاجی‌آباد
333454,,خواف,قائن,فرخی
333458,,حاجی آباد,قاین,
333501,,بیرجند,عرب‌آباد,خوسف
333502,,بیرجند,سربیشه,بیرجند - مود
333503,,بیرجند,آرین شهر,
333504,,بیرجند,اسدیه,
333512,,بیرجند,سربیشه,مود - سربیشه
333551,,عرب‌آباد,بیرجند,خوسف
333552,,سربیشه,بیرجند,مود - بیرجند
333553,,آرین شهر,بیرجند,
333554,,اسدیه,بیرجند,
333562,,سربیشه,بیرجند,سربیشه - مود
333901,,طبس,دیهوک,
333902,,طبس,یزد,طبس
333903,,طبس,خور,طبس
333951,,دیهوک,طبس,
333952,,یزد,طبس,طبس
333953,,خور,طبس,طبس
334701,,فردوس,دیهوک,فردوس
334702,,فردوس,بجستان,برون
334703,,فردوس,گناباد,فردوس
334751,,دیهوک,فردوس,فردوس
334752,,بجستان,فردوس,برون
334753,,گناباد,فردوس,فردوس
334901,,قائن,گناباد,قائن - خضری
334902,,آرین شهر,قائن,
334951,,گناباد,قائن,خضری - قائن
334952,,قائن,آرین شهر,
335603,,نهبندان,شوسف,
335604,,نهبندان,زاهدان,نهبندان - سفیدآبه
335653,,شوسف,نهبندان,
335654,,زاهدان,نهبندان,سفید آبه - نهبندان
362113,,مسجدسلیمان,شوشتر,مسجدسلیمان - سه‌راهی گاو سوار
362163,,شوشتر,مسجدسلیمان,سه‌راهی گاو سوار - مسجدسلیمان
363101,,,,
363102,,اهواز,آبادان,اهواز - دارخوین
363104,,اهواز,ملاثانی,
363105,,اهواز,بندر امام,جاده قدیم
363106,,حمیدیه,سوسنگرد,
363107,,رامهرمز,اهواز,رامهرمز
363113,,اهواز,خرمشهر,
363114,,شوشتر,ملاثانی,
363151,,,,
363152,,آبادان,اهواز,دارخوین - اهواز
363154,,ملاثانی,اهواز,
363155,,بندر امام,اهواز,جاده قدیم
363156,,سوسنگرد,حمیدیه,
363157,,اهواز,رامهرمز,رامهرمز
363163,,خرمشهر,اهواز,
363164,,ملاثانی,شوشتر,
363201,,آبادان,اهواز,آبادان - دارخوین
363203,,اهواز,شوش,الوان - شوش
363204,,اهواز,حمیدیه,
363206,,اهواز,امیدیه,سه راهی سرانجام
363207,,اهواز,خرمشهر,جاده امام صادق
363208,کمربندی,اهواز,,غرب به شرق
363228,کمربندی,جنوبی اهواز,,جنوب به شرق
363229,,اهواز,شوش,اهواز) (متناظر توزین
363230,,ملاثانی,مسجدسلیمان,
363251,,اهواز,آبادان,دارخوین - آبادان
363253,,شوش,اهواز,شوش - الوان
363254,,حمیدیه,اهواز,
363256,,امیدیه,اهواز,سه راهی سرانجام
363257,,خرمشهر,اهواز,جاده امام صادق
363258,کمربندی,اهواز,,شرق به غرب
363279,,شوش,اهواز,اهواز
363280,,مسجدسلیمان,ملاثانی,
363301,جاده قدیم,اندیمشک,پل زال,
363302,,اندیمشک,شوش,
363304,آزادراه,اندیمشک,پل زال,
363305,,اندیمشک,دهلران,سه‌راهی دهلران - دشت عباس
363313,,اندیمشک,خرم‌آباد,اندیمشک
363314,کمربندی,اندیمشک,دزفول,غرب به شرق
363351,جاده قدیم,پل زال,اندیمشک,
363352,,شوش,اندیمشک,
363354,آزادراه,پل زال,اندیمشک,
363355,,دهلران,اندیمشک,دشت عباس - سه‌راهی دهلران
363363,,خرم‌آباد,اندیمشک,اندیمشک) (متناظر توزین
363364,کمربندی,دزفول,اندیمشک,شرق به غرب
363401,,دهدز,لردگان,دهدز
363402,,ایذه,دهدز,
363451,,لردگان,دهدز,دهدز
363452,,دهدز,ایذه,
363501,,باغملک,ایذه,
363551,,ایذه,باغملک,
363601,,بندر امام خمینی,آبادان,خوردورق
363603,,ماهشهر,بندرامام,
363604,آزادراه,بندر امام خمینی,اهواز,
363605,,ماهشهر,امیدیه,
363606,,ماهشهر,هندیجان,ماهشهر
363627,,هندیجان,دیلم,خروجی استان
363628,آزادراه,بندرامام,اهواز,خروجی بندرامام
363651,,آبادان,بندر امام خمینی,خوردورق
363653,,بندر امام,ماهشهر,
363654,آزادراه,اهواز,بندر امام خمینی,
363655,,امیدیه,ماهشهر,
363656,,هندیجان,ماهشهر,ماهشهر
363657,,دیلم,هندیجان,
363677,,دیلم,هندیجان,خروجی استان
363678,آزادراه,اهواز,بندرامام,خروجی بندرامام
363701,,بهبهان,گچساران,بهبهان - خیرآباد
363702,,بهبهان,دیلم,خروجی خوزستان
